Duration (in seconds),"Hoja de Información



Título del estudio: Opiniones sobre políticos Investigadores: Santiago Ventura (Universidad de Warwick), Tim Mullett (Universidad de Warwick), y Nick Chater (Universidad de Warwick).



Financiamiento: Esta investigación es financiada por la Warwick Business School (Universidad de Warwick).



Objetivos y duración del proyecto: Este estudio tiene como objetivo entender mejor las opiniones de las personas sobre políticos de Chile. La duración estimada del estudio es de 2 a 3 minutos.



Metodología y participación: En este estudio se te preguntará tu opinión sobre un político chileno y se te pedirá completar un breve cuestionario demográfico (e.g. edad, género) y finalmente, por quién crees que votarás en las elecciones presidenciales.



Riesgos y beneficios: Participar en este estudio no implica riesgos mayores que los que se encuentran en la vida diaria. No podemos garantizar que recibirás beneficios por participar.



Participación voluntaria: Tu participación es completamente voluntaria. Puedes retirarte en cualquier momento, simplemente cerrando el navegador. Sin embargo, solo podremos pagarte si completas la encuesta.



Privacidad: Para proteger tu privacidad, no se recogerá información directamente identificable (e.g. nombre, correo electrónico o dirección). Los datos serán anonimizados lo antes posible tras la recolección y no será posible retirarlos después de este punto.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] es capaz.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] es un/a experto/a.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] cumple muy bien con su deber.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - Si los ciudadanos necesitan ayuda, [Field-Politician] hará lo posible para ayudarles.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] actúa en interés de los ciudadanos.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] está genuinamente interesado/a en el bienestar de los ciudadanos.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] tiene un acercamiento sincero con los ciudadanos.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] es sincero/a.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] es honesto/a.","¿Durante esta encuesta, sobre qué político estabas pensando?","Políticamente hablando, ¿te identificas más con la Izquierda o la Derecha? - Selected Choice","Políticamente hablando, ¿te identificas más con la Izquierda o la Derecha? - Otro - Text",¿Dirías que eres fuertemente de Derecha o no tan fuertemente de Derecha?,¿Dirías que eres fuertemente de Izquierda o no tan fuertemente de Izquierda?,"Si tuvieras que elegir, ¿te sentirías más cercano con la Izquierda o la Derecha?",¿Qué tan importante es tu identificación política para tí?,¿Con qué género te identificas? - Selected Choice,¿Qué edad tienes?,"Las elecciones presidenciales se llevarán a cabo el próximo domingo 16 de Noviembre, ¿por quién planeas votar?",rid,Politician,MatrixResponses,Consent,Attention
124,Doy consentimiento para participar en este estudio.,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Jeannette Jara,Ninguno/Sin preferencia,,,,Ninguno,Nada importante,Masculino,64,José Antonio Kast Rist,6916139d-e528-3ca0-adc7-c335720db6f9,Jeannette Jara,"Ni de acuerdo ni en desacuerdo, Algo en desacuerdo",1,1
130,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,José Antonio Kast,Derecha,,No tan fuertemente de Derecha,,,Moderadamente importante,Femenino,25,José Antonio Kast Rist,6916139f-890d-513f-2e4e-d520b0326401,José Antonio Kast,"Algo de acuerdo, Totalmente de acuerdo, Ni de acuerdo ni en desacuerdo, Algo en desacuerdo",1,1
222,Doy consentimiento para participar en este estudio.,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,José Antonio Kast,Ninguno/Sin preferencia,,,,Ninguno,Nada importante,Masculino,35,Franco Parisi Fernández,691613a0-dd28-f66d-b6ab-381cda93b22c,José Antonio Kast,"Totalmente en desacuerdo, Ni de acuerdo ni en desacuerdo, Algo en desacuerdo",1,1
195,Doy consentimiento para participar en este estudio.,Algo en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,José Antonio Kast,Derecha,,Fuertemente de Derecha,,,Extremadamente importante,Masculino,51,Johannes Kaiser Barents-von Hohenhagen,691613ae-378d-258d-3e59-167b1218ebd9,José Antonio Kast,"Algo en desacuerdo, Totalmente en desacuerdo",1,1
110,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,José Antonio Kast,Derecha,,Fuertemente de Derecha,,,Poco importante,Femenino,44,José Antonio Kast Rist,691613af-ced4-671e-895c-60688f55bf45,José Antonio Kast,Totalmente de acuerdo,1,1
117,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Jeannette Jara,Ninguno/Sin preferencia,,,,Más cercano con la Derecha,Muy importante,Femenino,31,Jeannette Jara Román,691613bc-756b-e0de-3eca-f997e0a150a8,Jeannette Jara,"Algo de acuerdo, Totalmente de acuerdo",1,1
136,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,José Antonio Kast,Derecha,,Fuertemente de Derecha,,,Extremadamente importante,Masculino,39,José Antonio Kast Rist,691613c0-ffdf-a4f3-4b4e-dee0a0e2346d,José Antonio Kast,Totalmente de acuerdo,1,1
2556,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Jeannette Jara,Izquierda,,,Fuertemente de Izquierda,,Muy importante,Masculino,33,Jeannette Jara Román,691613d5-2e1f-1bbb-fc1a-4e3f132ec9ea,Jeannette Jara,"Totalmente de acuerdo, Algo de acuerdo",1,1
239,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente de acuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Jeannette Jara,Otro,,,,Ninguno,Moderadamente importante,Masculino,45,Franco Parisi Fernández,691613d8-31b9-8b0a-6d7a-850642d7314a,Jeannette Jara,"Algo en desacuerdo, Totalmente en desacuerdo, Algo de acuerdo, Totalmente de acuerdo",1,1
248,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,José Antonio Kast,Ninguno/Sin preferencia,,,,Más cercano con la Derecha,Poco importante,Masculino,39,Evelyn Matthei Fornet,691613e7-cc74-d5a0-2843-8c37af68fb1d,José Antonio Kast,"Ni de acuerdo ni en desacuerdo, Algo en desacuerdo, Algo de acuerdo",1,1
61,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,José Antonio Kast,Derecha,,Fuertemente de Derecha,,,Muy importante,Masculino,50,Evelyn Matthei Fornet,691613e6-8377-89df-d8d5-833ba657c04f,José Antonio Kast,Algo de acuerdo,1,1
123,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Jeannette Jara,Derecha,,No tan fuertemente de Derecha,,,Moderadamente importante,Masculino,37,Evelyn Matthei Fornet,691613f4-7c06-3f57-c8a3-940562d0005d,Jeannette Jara,"Totalmente de acuerdo, Ni de acuerdo ni en desacuerdo, Algo de acuerdo",1,1
158,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Algo de acuerdo,José Antonio Kast,Derecha,,No tan fuertemente de Derecha,,,Moderadamente importante,Femenino,42,José Antonio Kast Rist,691613fc-dbc4-95b7-5dcd-e99acdeaa344,José Antonio Kast,"Totalmente de acuerdo, Algo de acuerdo",1,1
84,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,José Antonio Kast,Derecha,,No tan fuertemente de Derecha,,,Moderadamente importante,Masculino,32,José Antonio Kast Rist,691613fe-4c37-fad5-0d77-79bc44b4aa88,José Antonio Kast,"Totalmente de acuerdo, Algo de acuerdo",1,1
203,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,José Antonio Kast,Ninguno/Sin preferencia,,,,Ninguno,Muy importante,Masculino,40,Franco Parisi Fernández,691613fe-dfee-a101-0989-d353422a146d,José Antonio Kast,"Totalmente en desacuerdo, Algo en desacuerdo",1,1
99,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,José Antonio Kast,Izquierda,,,No tan fuertemente de Izquierda,,Muy importante,Femenino,47,Jeannette Jara Román,69161403-19df-0374-c459-128544f4fe51,José Antonio Kast,Totalmente en desacuerdo,1,1
137,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Jeannette Jara,Ninguno/Sin preferencia,,,,Ninguno,Nada importante,Masculino,21,Jeannette Jara Román,6916164e-f2ca-aa87-af98-61f185f84718,Jeannette Jara,"Algo de acuerdo, Ni de acuerdo ni en desacuerdo, Algo en desacuerdo, Totalmente en desacuerdo",1,1
53,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,José Antonio Kast,Otro,Centro ,,,Ninguno,Extremadamente importante,Masculino,36,Eduardo Antonio Artés Brichetti,69161654-197c-4411-514d-639491a59573,José Antonio Kast,Totalmente en desacuerdo,1,1
107,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,José Antonio Kast,Izquierda,,,Fuertemente de Izquierda,,Muy importante,Femenino,30,Jeannette Jara Román,69161656-cc44-5349-d8f6-03c4bfbb110a,José Antonio Kast,"Totalmente en desacuerdo, Algo en desacuerdo, Algo de acuerdo",1,1
66,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Jeannette Jara,Derecha,,Fuertemente de Derecha,,,Extremadamente importante,Masculino,31,José Antonio Kast Rist,6916165c-1ca7-ead6-900f-848aaefd3971,Jeannette Jara,"Ni de acuerdo ni en desacuerdo, Totalmente de acuerdo, Algo de acuerdo",1,1
101,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Jeannette Jara,Izquierda,,,No tan fuertemente de Izquierda,,Moderadamente importante,Femenino,26,Jeannette Jara Román,69161669-e866-eaf5-0ca5-03061173bb51,Jeannette Jara,"Totalmente de acuerdo, Algo de acuerdo",1,1
113,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,José Antonio Kast,Derecha,,Fuertemente de Derecha,,,Nada importante,Femenino,27,José Antonio Kast Rist,6916166e-7782-ed7b-56d1-91d7d0b316ac,José Antonio Kast,Totalmente de acuerdo,1,1
69,Doy consentimiento para participar en este estudio.,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,José Antonio Kast,Ninguno/Sin preferencia,,,,Ninguno,Poco importante,Masculino,24,Jeannette Jara Román,69161673-3bee-cd4a-bc1b-6dc0a64e185f,José Antonio Kast,"Ni de acuerdo ni en desacuerdo, Algo de acuerdo",1,1
151,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Jeannette Jara,Ninguno/Sin preferencia,,,,Más cercano con la Derecha,Nada importante,Masculino,33,Franco Parisi Fernández,69161673-3402-2383-b722-c3f4a1f113d7,Jeannette Jara,"Algo de acuerdo, Ni de acuerdo ni en desacuerdo, Algo en desacuerdo",1,1
76,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Jeannette Jara,Otro,,,,Más cercano con la Derecha,Poco importante,Femenino,33,Eduardo Antonio Artés Brichetti,6916167a-1be5-0e9b-9960-24d72a05e86c,Jeannette Jara,Algo de acuerdo,1,1
270,Doy consentimiento para participar en este estudio.,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Jeannette Jara,Derecha,,No tan fuertemente de Derecha,,,Moderadamente importante,Femenino,62,José Antonio Kast Rist,69161680-7d08-4d45-913b-05bb04af998e,Jeannette Jara,"Algo en desacuerdo, Ni de acuerdo ni en desacuerdo",1,1
144,Doy consentimiento para participar en este estudio.,Algo en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,José Antonio Kast,Ninguno/Sin preferencia,,,,Más cercano con la Izquierda,Muy importante,Femenino,33,Franco Parisi Fernández,69161682-efa6-22bb-a7ca-87d08b162919,José Antonio Kast,"Totalmente en desacuerdo, Algo en desacuerdo",1,1
228,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,José Antonio Kast,Derecha,,Fuertemente de Derecha,,,Muy importante,Masculino,57,Johannes Kaiser Barents-von Hohenhagen,691616ab-7e7b-4d23-507f-8a0af6e232f4,José Antonio Kast,Algo de acuerdo,1,1
69,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Jeannette Jara,Izquierda,,,No tan fuertemente de Izquierda,,Muy importante,Femenino,42,Jeannette Jara Román,691616aa-a411-4e4e-6223-6fafb857a7e2,Jeannette Jara,"Totalmente de acuerdo, Algo de acuerdo",1,1
131,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Jeannette Jara,Derecha,,Fuertemente de Derecha,,,Muy importante,Masculino,20,José Antonio Kast Rist,691616af-2628-e8e7-db6c-db95294a9338,Jeannette Jara,"Totalmente de acuerdo, Algo de acuerdo",1,1
121,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,José Antonio Kast,Derecha,,Fuertemente de Derecha,,,Muy importante,Femenino,29,José Antonio Kast Rist,691616bc-137b-5a03-57fa-317dd680293d,José Antonio Kast,"Totalmente de acuerdo, Algo de acuerdo",1,1
81,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Jeannette Jara,Izquierda,,,No tan fuertemente de Izquierda,,Muy importante,Masculino,36,Jeannette Jara Román,691616c5-f4be-4c87-a04e-91805d1eb418,Jeannette Jara,Totalmente de acuerdo,1,1
160,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,José Antonio Kast,Derecha,,Fuertemente de Derecha,,,Muy importante,Femenino,35,Evelyn Matthei Fornet,691616c8-3d5e-a776-98d6-c49824d9b8d0,José Antonio Kast,"Ni de acuerdo ni en desacuerdo, Algo de acuerdo, Totalmente de acuerdo",1,1
168,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,José Antonio Kast,Otro,,,,Ninguno,Nada importante,Femenino,29,José Antonio Kast Rist,691616ce-469f-c7f4-11bf-a7ad499b3748,José Antonio Kast,"Ni de acuerdo ni en desacuerdo, Algo de acuerdo, Algo en desacuerdo",1,1
156,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,José Antonio Kast,Otro,Centro,,,Más cercano con la Derecha,Moderadamente importante,Femenino,38,Evelyn Matthei Fornet,691616d1-c2f2-591b-fb93-c576c8288a4e,José Antonio Kast,"Algo de acuerdo, Ni de acuerdo ni en desacuerdo",1,1
88,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Jeannette Jara,Izquierda,,,No tan fuertemente de Izquierda,,Moderadamente importante,Femenino,42,Jeannette Jara Román,691616d6-99c9-261e-6489-b425ea17fdcd,Jeannette Jara,"Algo en desacuerdo, Totalmente en desacuerdo",1,1
93,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Jeannette Jara,Izquierda,,,No tan fuertemente de Izquierda,,Moderadamente importante,Femenino,19,Jeannette Jara Román,691616da-c258-523f-23a3-ef23c27242ae,Jeannette Jara,"Totalmente de acuerdo, Algo de acuerdo",1,1
245,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,José Antonio Kast,Derecha,,Fuertemente de Derecha,,,Moderadamente importante,Femenino,64,Evelyn Matthei Fornet,691616e2-0789-1289-2385-85c1360fd5d9,José Antonio Kast,"Algo en desacuerdo, Ni de acuerdo ni en desacuerdo, Algo de acuerdo",1,1
123,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,José Antonio Kast,Derecha,,No tan fuertemente de Derecha,,,Muy importante,Femenino,22,José Antonio Kast Rist,691616f9-7deb-6717-6411-1ca6a4439ad7,José Antonio Kast,"Algo de acuerdo, Totalmente de acuerdo",1,1
178,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Jeannette Jara,Derecha,,Fuertemente de Derecha,,,Moderadamente importante,Masculino,26,Jeannette Jara Román,691616fb-9f21-a55f-828d-30d9f3e525a1,Jeannette Jara,"Ni de acuerdo ni en desacuerdo, Algo de acuerdo, Totalmente de acuerdo",1,1
119,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,José Antonio Kast,Otro,Centro,,,Ninguno,Extremadamente importante,Masculino,45,Franco Parisi Fernández,691616fa-24ca-4dd3-d3a0-6e4335d8a7fb,José Antonio Kast,Totalmente en desacuerdo,1,1
62,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo de acuerdo,José Antonio Kast,Ninguno/Sin preferencia,,,,Ninguno,Nada importante,Masculino,22,José Antonio Kast Rist,691616fb-284b-7b9f-3346-4423016ddc40,José Antonio Kast,"Ni de acuerdo ni en desacuerdo, Algo de acuerdo, Totalmente de acuerdo",1,1
149,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Jeannette Jara,Izquierda,,,No tan fuertemente de Izquierda,,Moderadamente importante,Femenino,40,Jeannette Jara Román,691616fe-f487-6bd7-87a9-54832759a3e8,Jeannette Jara,"Totalmente de acuerdo, Algo de acuerdo",1,1
146,Doy consentimiento para participar en este estudio.,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Jeannette Jara,Ninguno/Sin preferencia,,,,Más cercano con la Derecha,Poco importante,Masculino,24,Franco Parisi Fernández,691616ff-2495-22ce-e944-e81f26bbaffb,Jeannette Jara,"Algo en desacuerdo, Ni de acuerdo ni en desacuerdo, Totalmente en desacuerdo",1,1
50,Doy consentimiento para participar en este estudio.,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Jeannette Jara,Derecha,,Fuertemente de Derecha,,,Moderadamente importante,Masculino,32,Franco Parisi Fernández,69161704-d731-feb4-5baa-5c9b422c1719,Jeannette Jara,"Algo en desacuerdo, Ni de acuerdo ni en desacuerdo, Algo de acuerdo, Totalmente de acuerdo",1,1
270,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,José Antonio Kast,Ninguno/Sin preferencia,,,,Ninguno,Muy importante,Femenino,19,Jeannette Jara Román,69161705-1eea-b25d-9c9e-24018db56b2b,José Antonio Kast,"Algo en desacuerdo, Totalmente en desacuerdo",1,1
124,Doy consentimiento para participar en este estudio.,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,José Antonio Kast,Ninguno/Sin preferencia,,,,Ninguno,Moderadamente importante,Femenino,18,Franco Parisi Fernández,69161707-bc78-368b-9a14-00609d6350e3,José Antonio Kast,"Ni de acuerdo ni en desacuerdo, Algo en desacuerdo",1,1
